Order_ID,Date,Product_Name,Category,Price,Quantity,Total_Sales,Customer_ID,Location,Order_Status,Profit,Customer_Segment,Marketing_Source,Stock_Level
1001,23-03-2025,Phone,Electronics,500,1,500,C479,Los Angeles,Pending,60.93694252,Returning,Instagram,192
1002,29-01-2025,Sneakers,Fashion,120,1,120,C446,Boston,Completed,14.62486621,Loyal,Email,191
1003,17-03-2025,Tablet,Electronics,300,1,300,C115,Chicago,Pending,36.56216551,Returning,Direct,174
1004,30-01-2025,Gaming Console,Electronics,400,5,2000,C113,Boston,Pending,243.7477701,New,Google,80
1005,25-03-2025,Gaming Console,Electronics,400,4,1600,C212,Seattle,Shipped,194.9982161,VIP,Instagram,118
1006,01-01-2025,Sneakers,Fashion,120,4,480,C274,Los Angeles,Pending,58.49946482,Loyal,Instagram,106
1007,28-01-2025,Smartwatch,Electronics,250,1,250,C147,Houston,Completed,30.46847126,VIP,Facebook,99
1008,15-02-2025,Smartwatch,Electronics,250,5,1250,C235,New York,Cancelled,152.3423563,New,Google,127
1009,10-03-2025,Phone,Electronics,500,4,2000,C140,Boston,Shipped,243.7477701,New,Email,74
1010,22-03-2025,Monitor,Electronics,200,3,600,C395,Dallas,Completed,73.12433103,New,Email,65
1011,06-01-2025,Headphones,Accessories,80,3,240,C140,Dallas,Completed,29.24973241,Loyal,Direct,129
1012,18-02-2025,Backpack,Fashion,45,4,180,C425,San Francisco,Pending,21.93729931,Returning,Direct,87
1013,17-02-2025,Smartwatch,Electronics,250,2,500,C443,Los Angeles,Completed,60.93694252,Returning,Facebook,183
1014,19-03-2025,Sneakers,Fashion,120,5,600,C473,Dallas,Pending,73.12433103,VIP,Google,143
1015,01-03-2025,Tablet,Electronics,300,3,900,C573,Boston,Pending,109.6864965,Loyal,Email,169
1016,29-03-2025,Smartwatch,Electronics,250,1,250,C217,New York,Shipped,30.46847126,VIP,Google,111
1017,21-02-2025,Backpack,Fashion,45,1,45,C208,Atlanta,Shipped,5.484324827,VIP,Facebook,159
1018,28-01-2025,Jacket,Fashion,90,4,360,C552,Seattle,Pending,43.87459862,Returning,Google,36
1019,03-02-2025,Sneakers,Fashion,120,2,240,C481,Boston,Shipped,29.24973241,Loyal,Google,11
1020,16-03-2025,Tablet,Electronics,300,5,1500,C304,San Francisco,Pending,182.8108276,New,Google,140
1021,18-01-2025,Gaming Console,Electronics,400,4,1600,C146,New York,Completed,194.9982161,VIP,Facebook,179
1022,20-01-2025,Sneakers,Fashion,120,4,480,C405,Chicago,Cancelled,58.49946482,New,Facebook,105
1023,18-02-2025,Monitor,Electronics,200,4,800,C370,Los Angeles,Completed,97.49910804,Loyal,Facebook,153
1024,29-03-2025,Phone,Electronics,500,5,2500,C484,Los Angeles,Shipped,304.6847126,VIP,Email,175
1025,15-01-2025,Backpack,Fashion,45,4,180,C180,Seattle,Completed,21.93729931,New,Instagram,162
1026,03-02-2025,Gaming Console,Electronics,400,2,800,C359,Chicago,Shipped,97.49910804,New,Google,165
1027,23-03-2025,Gaming Console,Electronics,400,5,2000,C201,Miami,Shipped,243.7477701,Returning,Direct,82
1028,21-01-2025,Gaming Console,Electronics,400,5,2000,C570,New York,Shipped,243.7477701,Loyal,Direct,86
1029,04-03-2025,Laptop,Electronics,750,1,750,C575,San Francisco,Shipped,91.40541379,Loyal,Instagram,185
1030,31-01-2025,Laptop,Electronics,750,2,1500,C549,Atlanta,Completed,182.8108276,Loyal,Google,37
1031,11-01-2025,Jacket,Fashion,90,1,90,C489,Boston,Pending,10.96864965,VIP,Google,133
1032,17-01-2025,Jacket,Fashion,90,5,450,C184,Los Angeles,Cancelled,54.84324827,Returning,Google,26
1033,28-01-2025,Gaming Console,Electronics,400,2,800,C465,Los Angeles,Cancelled,97.49910804,VIP,Facebook,96
1034,27-03-2025,Smartwatch,Electronics,250,4,1000,C560,Boston,Cancelled,121.873885,Loyal,Email,80
1035,16-01-2025,Headphones,Accessories,80,2,160,C132,San Francisco,Completed,19.49982161,VIP,Facebook,173
1036,17-03-2025,Gaming Console,Electronics,400,2,800,C401,Dallas,Completed,97.49910804,New,Google,93
1037,10-01-2025,Laptop,Electronics,750,2,1500,C134,New York,Shipped,182.8108276,VIP,Instagram,80
1038,10-01-2025,Gaming Console,Electronics,400,2,800,C242,Seattle,Pending,97.49910804,VIP,Google,76
1039,11-03-2025,Sneakers,Fashion,120,5,600,C395,Seattle,Pending,73.12433103,Loyal,Google,177
1040,02-03-2025,Tablet,Electronics,300,2,600,C148,Chicago,Cancelled,73.12433103,New,Email,192
1041,15-02-2025,Tablet,Electronics,300,4,1200,C339,New York,Completed,146.2486621,Loyal,Google,176
1042,08-01-2025,Tablet,Electronics,300,3,900,C509,Chicago,Pending,109.6864965,New,Facebook,86
1043,25-01-2025,Headphones,Accessories,80,5,400,C329,Miami,Cancelled,48.74955402,New,Direct,58
1044,24-01-2025,Backpack,Fashion,45,4,180,C227,Chicago,Cancelled,21.93729931,New,Email,48
1045,12-03-2025,Phone,Electronics,500,1,500,C433,Boston,Completed,60.93694252,Loyal,Email,142
1046,12-01-2025,Headphones,Accessories,80,2,160,C308,Seattle,Cancelled,19.49982161,New,Email,71
1047,28-01-2025,Tablet,Electronics,300,1,300,C184,Houston,Completed,36.56216551,Returning,Google,24
1048,19-02-2025,Backpack,Fashion,45,4,180,C246,Houston,Cancelled,21.93729931,Returning,Email,163
1049,20-01-2025,Headphones,Accessories,80,3,240,C211,New York,Completed,29.24973241,Returning,Email,113
1050,10-02-2025,Laptop,Electronics,750,1,750,C399,Seattle,Pending,91.40541379,Returning,Facebook,179
1051,08-01-2025,Gaming Console,Electronics,400,1,400,C535,Miami,Completed,48.74955402,Loyal,Instagram,91
1052,18-03-2025,Phone,Electronics,500,2,1000,C306,Chicago,Pending,121.873885,VIP,Facebook,184
1053,16-03-2025,Monitor,Electronics,200,1,200,C417,Chicago,Cancelled,24.37477701,VIP,Facebook,45
1054,26-03-2025,Monitor,Electronics,200,5,1000,C367,San Francisco,Shipped,121.873885,Returning,Instagram,194
1055,27-01-2025,Smartwatch,Electronics,250,2,500,C235,Houston,Pending,60.93694252,VIP,Instagram,16
1056,27-03-2025,Backpack,Fashion,45,4,180,C261,Chicago,Completed,21.93729931,Returning,Email,177
1057,28-02-2025,Monitor,Electronics,200,5,1000,C151,Chicago,Pending,121.873885,Returning,Facebook,137
1058,06-03-2025,Backpack,Fashion,45,2,90,C577,San Francisco,Completed,10.96864965,VIP,Google,85
1059,01-02-2025,Smartwatch,Electronics,250,3,750,C180,Seattle,Shipped,91.40541379,VIP,Direct,76
1060,20-03-2025,Gaming Console,Electronics,400,1,400,C441,Boston,Shipped,48.74955402,New,Direct,117
1061,26-03-2025,Phone,Electronics,500,2,1000,C235,Chicago,Completed,121.873885,Returning,Direct,113
1062,12-03-2025,Sneakers,Fashion,120,3,360,C244,Atlanta,Pending,43.87459862,VIP,Facebook,109
1063,13-02-2025,Headphones,Accessories,80,3,240,C358,Seattle,Shipped,29.24973241,VIP,Instagram,198
1064,07-01-2025,Phone,Electronics,500,4,2000,C524,Los Angeles,Completed,243.7477701,VIP,Email,19
1065,01-01-2025,Smartwatch,Electronics,250,2,500,C426,Los Angeles,Pending,60.93694252,New,Email,159
1066,26-02-2025,Gaming Console,Electronics,400,4,1600,C387,New York,Completed,194.9982161,Returning,Direct,191
1067,10-01-2025,Sneakers,Fashion,120,5,600,C118,San Francisco,Pending,73.12433103,Returning,Email,156
1068,25-02-2025,Sneakers,Fashion,120,1,120,C257,San Francisco,Completed,14.62486621,Loyal,Google,58
1069,15-02-2025,Headphones,Accessories,80,2,160,C441,Chicago,Shipped,19.49982161,New,Google,97
1070,13-03-2025,Tablet,Electronics,300,5,1500,C483,Miami,Pending,182.8108276,New,Instagram,195
1071,21-01-2025,Sneakers,Fashion,120,4,480,C112,Miami,Shipped,58.49946482,Returning,Email,192
1072,22-02-2025,Headphones,Accessories,80,3,240,C181,Chicago,Cancelled,29.24973241,Loyal,Facebook,66
1073,05-01-2025,Jacket,Fashion,90,2,180,C202,Seattle,Shipped,21.93729931,Loyal,Email,185
1074,09-02-2025,Headphones,Accessories,80,2,160,C112,Dallas,Cancelled,19.49982161,Returning,Facebook,146
1075,12-02-2025,Backpack,Fashion,45,1,45,C595,Los Angeles,Shipped,5.484324827,VIP,Direct,173
1076,24-03-2025,Gaming Console,Electronics,400,4,1600,C447,Boston,Shipped,194.9982161,New,Facebook,131
1077,04-01-2025,Phone,Electronics,500,3,1500,C191,Atlanta,Shipped,182.8108276,Loyal,Direct,181
1078,05-01-2025,Phone,Electronics,500,5,2500,C322,San Francisco,Shipped,304.6847126,VIP,Google,101
1079,25-02-2025,Monitor,Electronics,200,5,1000,C159,Houston,Pending,121.873885,Loyal,Email,139
1080,02-02-2025,Laptop,Electronics,750,4,3000,C100,Boston,Pending,365.6216551,VIP,Instagram,86
1081,16-02-2025,Tablet,Electronics,300,1,300,C585,San Francisco,Shipped,36.56216551,VIP,Email,53
1082,26-03-2025,Phone,Electronics,500,3,1500,C359,Los Angeles,Cancelled,182.8108276,New,Direct,178
1083,11-02-2025,Tablet,Electronics,300,3,900,C383,Miami,Pending,109.6864965,Loyal,Email,152
1084,23-02-2025,Tablet,Electronics,300,2,600,C415,Atlanta,Shipped,73.12433103,Loyal,Instagram,56
1085,21-02-2025,Gaming Console,Electronics,400,1,400,C255,Los Angeles,Pending,48.74955402,VIP,Direct,85
1086,25-02-2025,Monitor,Electronics,200,5,1000,C435,San Francisco,Cancelled,121.873885,Returning,Direct,34
1087,26-02-2025,Jacket,Fashion,90,2,180,C361,Seattle,Pending,21.93729931,Loyal,Instagram,130
1088,26-03-2025,Phone,Electronics,500,3,1500,C363,Atlanta,Shipped,182.8108276,New,Email,42
1089,12-01-2025,Headphones,Accessories,80,3,240,C215,Dallas,Pending,29.24973241,Returning,Instagram,199
1090,04-01-2025,Laptop,Electronics,750,2,1500,C343,Atlanta,Completed,182.8108276,Loyal,Facebook,76
1091,28-02-2025,Tablet,Electronics,300,5,1500,C199,Houston,Cancelled,182.8108276,New,Google,195
1092,21-02-2025,Headphones,Accessories,80,2,160,C435,New York,Completed,19.49982161,Returning,Instagram,153
1093,24-02-2025,Headphones,Accessories,80,2,160,C511,Boston,Cancelled,19.49982161,Loyal,Direct,56
1094,07-01-2025,Gaming Console,Electronics,400,2,800,C569,Chicago,Cancelled,97.49910804,New,Facebook,184
1095,18-01-2025,Jacket,Fashion,90,5,450,C386,Atlanta,Shipped,54.84324827,Returning,Google,95
1096,26-02-2025,Monitor,Electronics,200,5,1000,C318,Boston,Cancelled,121.873885,Loyal,Instagram,177
1097,21-01-2025,Jacket,Fashion,90,4,360,C232,Dallas,Shipped,43.87459862,Returning,Google,32
1098,08-03-2025,Jacket,Fashion,90,2,180,C240,Seattle,Completed,21.93729931,VIP,Email,66
1099,06-02-2025,Headphones,Accessories,80,3,240,C271,San Francisco,Completed,29.24973241,VIP,Direct,100
1100,18-01-2025,Sneakers,Fashion,120,2,240,C296,Miami,Pending,29.24973241,Returning,Instagram,67
1101,09-01-2025,Tablet,Electronics,300,4,1200,C269,Boston,Cancelled,146.2486621,VIP,Direct,200
1102,23-02-2025,Laptop,Electronics,750,2,1500,C526,Houston,Cancelled,182.8108276,VIP,Facebook,88
1103,16-03-2025,Laptop,Electronics,750,5,3750,C294,Seattle,Completed,457.0270689,Returning,Facebook,117
1104,15-02-2025,Backpack,Fashion,45,4,180,C536,Houston,Pending,21.93729931,VIP,Google,94
1105,04-03-2025,Headphones,Accessories,80,3,240,C323,Seattle,Completed,29.24973241,Returning,Facebook,105
1106,19-02-2025,Smartwatch,Electronics,250,4,1000,C470,Miami,Cancelled,121.873885,Returning,Facebook,76
1107,17-01-2025,Monitor,Electronics,200,5,1000,C113,Houston,Completed,121.873885,VIP,Instagram,159
1108,11-01-2025,Tablet,Electronics,300,2,600,C543,Seattle,Pending,73.12433103,Loyal,Direct,85
1109,07-01-2025,Backpack,Fashion,45,4,180,C267,Dallas,Cancelled,21.93729931,Returning,Google,128
1110,11-02-2025,Smartwatch,Electronics,250,4,1000,C242,Houston,Shipped,121.873885,Returning,Facebook,40
1111,11-01-2025,Jacket,Fashion,90,1,90,C483,Boston,Completed,10.96864965,Loyal,Direct,130
1112,14-02-2025,Headphones,Accessories,80,1,80,C499,New York,Completed,9.749910804,VIP,Email,23
1113,01-02-2025,Headphones,Accessories,80,1,80,C418,Miami,Pending,9.749910804,New,Instagram,172
1114,17-01-2025,Jacket,Fashion,90,1,90,C388,Dallas,Cancelled,10.96864965,Loyal,Facebook,159
1115,31-03-2025,Backpack,Fashion,45,3,135,C185,Atlanta,Completed,16.45297448,New,Facebook,158
1116,21-01-2025,Backpack,Fashion,45,1,45,C396,New York,Shipped,5.484324827,VIP,Facebook,168
1117,15-03-2025,Tablet,Electronics,300,4,1200,C582,Dallas,Completed,146.2486621,Returning,Direct,28
1118,17-03-2025,Headphones,Accessories,80,1,80,C456,Los Angeles,Completed,9.749910804,Returning,Instagram,130
1119,14-03-2025,Laptop,Electronics,750,3,2250,C372,Houston,Shipped,274.2162414,VIP,Instagram,59
1120,09-01-2025,Gaming Console,Electronics,400,3,1200,C106,Houston,Cancelled,146.2486621,VIP,Direct,138
1121,14-01-2025,Tablet,Electronics,300,3,900,C425,Seattle,Pending,109.6864965,VIP,Google,40
1122,25-02-2025,Sneakers,Fashion,120,5,600,C594,Los Angeles,Cancelled,73.12433103,VIP,Instagram,184
1123,01-03-2025,Tablet,Electronics,300,5,1500,C237,San Francisco,Pending,182.8108276,VIP,Direct,107
1124,12-01-2025,Backpack,Fashion,45,4,180,C224,Seattle,Cancelled,21.93729931,VIP,Direct,145
1125,13-02-2025,Laptop,Electronics,750,4,3000,C535,San Francisco,Pending,365.6216551,VIP,Facebook,86
1126,04-03-2025,Headphones,Accessories,80,3,240,C508,Los Angeles,Shipped,29.24973241,Returning,Direct,115
1127,05-02-2025,Monitor,Electronics,200,3,600,C384,New York,Pending,73.12433103,New,Facebook,23
1128,11-01-2025,Headphones,Accessories,80,4,320,C350,Boston,Pending,38.99964322,New,Email,48
1129,30-03-2025,Jacket,Fashion,90,4,360,C329,New York,Completed,43.87459862,Returning,Direct,45
1130,07-02-2025,Headphones,Accessories,80,4,320,C454,Dallas,Shipped,38.99964322,Loyal,Instagram,61
1131,26-03-2025,Monitor,Electronics,200,3,600,C342,Boston,Shipped,73.12433103,New,Facebook,97
1132,24-02-2025,Gaming Console,Electronics,400,3,1200,C280,Seattle,Shipped,146.2486621,Loyal,Email,114
1133,09-02-2025,Backpack,Fashion,45,2,90,C161,Dallas,Shipped,10.96864965,Returning,Google,155
1134,16-01-2025,Gaming Console,Electronics,400,2,800,C198,Dallas,Cancelled,97.49910804,Loyal,Google,127
1135,05-02-2025,Monitor,Electronics,200,5,1000,C405,Los Angeles,Completed,121.873885,Returning,Google,46
1136,25-01-2025,Backpack,Fashion,45,2,90,C284,Miami,Shipped,10.96864965,VIP,Facebook,90
1137,02-01-2025,Gaming Console,Electronics,400,2,800,C240,New York,Completed,97.49910804,VIP,Direct,193
1138,12-03-2025,Backpack,Fashion,45,2,90,C426,Seattle,Completed,10.96864965,New,Facebook,56
1139,02-01-2025,Monitor,Electronics,200,3,600,C340,Seattle,Cancelled,73.12433103,New,Google,30
1140,13-02-2025,Sneakers,Fashion,120,1,120,C229,Seattle,Completed,14.62486621,Loyal,Direct,134
